| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 76 | ECU | 林晚意走出展厅大门，在走廊光线切换的瞬间，迅速展开便签。指尖因用力而发白。 | 推进（聚焦便签） | （内心独白，无声）教堂钟楼，东侧第三扇窗…下午两点。 | 纸张被快速展开的脆响，她压抑的呼吸声 | 便签上简笔画出的教堂窗户旁，有一个极小的、用荧光笔点出的红点，微微闪烁 |
| 77 | MCU | 她将便签和红色钥匙一并塞入手包最内层，拉上拉链的动作干脆利落。眼神已恢复绝对的冷静与算计。 | 固定 | （对电话，压低声音）苏晴，查三年前巴黎丽兹酒店拍卖会，所有受邀宾客的最终落脚点。重点排查…苏黎世。 | 拉链划过的金属摩擦声，电话接通提示音 | 手包内层仿佛有微弱的红蓝光交替闪烁一瞬，随即被布料隔绝 |
| 78 | LS | 林晚意快步穿过机场VIP通道，走向停车场。步伐节奏稳定，但每一步都带着蓄势待发的力量。 | 跟拍（侧面） | （对电话）另外，我要沈聿的全部资料，越详细越好，尤其是他和南非矿业的关联。一小时内发我。 | 高跟鞋在空旷通道里的回响，远处行李车滚轮声 | 她走过的地面，光影随着她的步伐明暗交替，仿佛在丈量时间 |
| 79 | CU | 坐进租来的黑色轿车驾驶座，林晚意将手机固定在支架上，屏幕亮起苏黎世地图，教堂区域被高亮标记。 | 从车内向外拍（她查看地图） | （苏晴电话音）晚意，沈聿的背景很干净，干净得不正常。他和几个欧洲老牌家族有若即若离的关系，但查不到实质合作。你要小心。 | 手机地图APP的导航提示音（轻微） | 地图上教堂标记处，仿佛有血红色的光晕微微扩散（心理意象） |
| 80 | ECU | 林晚意启动引擎，目光锁定导航终点。左手手腕疤痕处的灼痛感仍未消退，反而成为她保持清醒的锚点。 | 固定 | （对电话）干净？越是干净，底下藏的东西就越脏。继续查，从他经手的每一笔艺术品交易入手。 | 引擎启动的低吼，安全带扣入锁扣的“咔哒”声 | 她眼中倒映着手机屏幕的光，瞳孔深处仿佛有数据流快速滚动（象征高速思考） |
| 81 | MS | 轿车驶出停车场，汇入苏黎世午后的车流。林晚意单手扶方向盘，另一只手快速在平板电脑上翻阅苏晴发来的初步资料。 | 跟拍（车内，她操作平板） | （内心独白，无声）沈聿…三年前你只是棋子。现在你想当棋手？那就看看，谁才是真正的执棋人。 | 平板电脑页面滑动的轻微声响，窗外城市交通背景音 | 平板屏幕上沈聿的照片与她记忆中三年前巴黎拍卖会某个模糊身影逐渐重叠，又错开 |
| 82 | CU | 资料页面停留在一张模糊的旧照片上：年轻的沈聿与一个背影模糊的中年男人站在某矿山前。林晚意瞳孔微缩。 | 推进（聚焦照片） | （低声）…果然和矿有关。 | 指尖敲击平板屏幕的轻响 | 照片中那个模糊的中年男人背影，轮廓与她前世记忆中某个“长辈”的身影极其相似（画面轻微震动） |
| 83 | LS | 轿车停在苏黎世大教堂广场附近。林晚意下车，抬头望向高耸的哥特式钟楼。阳光刺眼。 | 低角度仰拍（钟楼） | （无） | 广场上鸽群振翅飞起的声音，远处街头艺人的手风琴声 | 钟楼东侧第三扇窗户在逆光中形成一个深黑色的方块，如同凝视地面的独眼 |
| 84 | MCU | 林晚意戴上墨镜，遮住眼中所有情绪。她混入游客人群，步伐不疾不徐地走向教堂入口。 | 跟拍（她在人群中移动） | （对隐藏式耳麦）顾知行，我进去了。保持线路畅通，同步录音。如果两小时后我没有主动联系…你知道该怎么做。 | 游客嘈杂的背景音，她自己的脚步声被淹没 | 墨镜镜片上反射出钟楼窗户的倒影，以及几个看似随意、实则目光锐利的“游客”（沈聿或对方的人？） |
| 85 | CU | 她左手看似随意地插在风衣口袋中，实则紧紧握着那枚红色钥匙。钥匙上的宝石微微发烫。 | 推进（口袋内视角，手紧握钥匙） | （内心独白）温度在升高…接近了。 | 钥匙与掌心皮肤摩擦的细微声响，她平稳的心跳声 | 钥匙宝石透过布料散发出极其微弱的红光，与她的脉搏同步跳动 |
| 86 | LS | 教堂内部。高耸的穹顶，彩绘玻璃投下斑斓的光柱。林晚意沿着侧廊楼梯，一步步走向钟楼。脚步声在空旷中回响。 | 拉远（从下往上拍旋转楼梯） | （无） | 脚步声在石制楼梯上的回音，远处唱诗班隐约的练习声 | 越往上，光线越暗，彩绘玻璃的光斑在她身上移动，如同穿越时光隧道 |
| 87 | ECU | 到达钟楼东侧第三扇窗所在的楼层门前。木门虚掩，里面透出昏黄的光。林晚意停在门前，深吸一口气。 | 固定（聚焦木门缝隙） | （低声）…就是这里。 | 她自己清晰可闻的呼吸声，门内极轻微的、衣物摩擦的窸窣声 | 门缝中透出的光，在她脸上投下明明暗暗的条纹，眼神锐利如即将扑击的猎豹 |

