| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 1 | MCU | 林晚意将叠好的账本内页缓缓收回西装内袋，眼神如刀锋般锁定陆父。 | 固定 | （压低声音）陆伯父，您猜经侦科看到这个，会先查您还是先查您儿子？ | 远处隐约的警笛声，陆父粗重的呼吸声 | 林晚意眼中闪过一道冷光 |
| 2 | MS | 陆父（陆振国）面色铁青，额头渗出冷汗，手指微微颤抖。他身后两名保镖欲上前，被他抬手制止。 | 低角度仰拍 | （声音干涩）...你想怎么样？ | 保镖皮鞋摩擦地面的声音 | 陆父身后的阴影仿佛在蠕动、加深 |
| 3 | CU | 林晚意左手手腕内侧那道极淡的疤痕在画廊昏暗灯光下隐约可见。她右手食指轻轻敲击着内袋。 | 推进 | 很简单。第一，陆家立刻撤回对我父亲的所有不实指控和商业打压。 | 指甲轻叩布料的细微声响，心跳声（主观） | 疤痕处似乎有极细微的刺痛感（心理暗示） |
| 4 | ECU | 陆父的眼角肌肉剧烈抽搐，瞳孔收缩。 | 固定 | （咬牙）...第二呢？ | 吞咽口水的声音 | 无 |
| 5 | MCU | 林晚意微微侧头，目光扫过暗室入口，确保退路。 | 跟拍（林晚意视角） | 第二，陆子谦名下的画廊、以及他用赃款购置的所有资产，无条件转让给我，作为对我林家声誉损害的赔偿。 | 远处警笛声渐近 | 无 |
| 6 | LS | 暗室全景。陆父与林晚意对峙，保镖堵在门口，气氛凝滞。墙上的画作在阴影中显得扭曲。 | 拉远 | （陆父）你胃口不小...就不怕我让你走不出这间屋子？ | 画框因震动发出的轻微吱呀声 | 画面边缘轻微扭曲、震动，暗示危险 |
| 7 | ECU | 林晚意嘴角勾起一抹毫无温度的弧度。 | 固定 | （轻笑）您可以试试。看看是您的人快，还是我手机里预设的“一键发送”快。顾律师和警方，可都在等我的信号。 | 手机解锁的“咔哒”声（音效暗示） | 林晚意眼中倒映出手机屏幕的微光 |
| 8 | MS | 陆父猛地抬手，却又僵在半空。他身后的保镖手已摸向腰间。 | 甩镜（从林晚意甩到陆父） | （陆父，从牙缝里挤出）...我答应。 | 布料摩擦声，金属轻微碰撞声 | 无 |
| 9 | CU | 林晚意从内袋抽出另一份折叠好的文件，用两根手指夹着，递向陆父。 | 推进 | 转让协议，顾律师已经拟好并公证。签了它，账本这一页，我会“不小心”忘在保险箱里。 | 纸张展开的脆响 | 文件标题“资产转让协议”特写，短暂聚焦 |
| 10 | MCU | 陆父颤抖着手接过文件，快速扫视，脸色更加灰败。他抬头死死盯着林晚意。 | 固定 | （声音嘶哑）你早就准备好了...从什么时候开始？ | 纸张被捏皱的声音 | 无 |
| 11 | ECU | 林晚意眼神掠过一丝前世的痛楚，瞬间恢复冰冷。 | 推进 | 从你儿子把订婚戒指套在我手上，心里却想着怎么掏空林家的时候。 | 戒指滑过指尖的幻听（细微金属摩擦声） | 画面短暂闪烁，叠化出前世订婚宴上陆子谦虚伪笑容的残影（0.5秒） |
| 12 | MS | 陆父颓然靠在墙上，从西装口袋掏出笔，在协议上签下名字。笔尖划破纸张。 | 低角度仰拍 | （喃喃）养虎为患... | 钢笔尖划破纸张的刺耳声 | 签名处墨迹仿佛渗出血色（心理意象） |
| 13 | CU | 林晚意接过签好的协议，仔细检查签名和印章，然后利落地收起。 | 固定 | 账本在左边第三个画框后的保险箱，密码是你儿子的生日。警察三分钟后到，陆伯父，您该“配合调查”了。 | 协议折叠放入手包的拉链声 | 无 |
| 14 | LS | 林晚意转身，毫不迟疑地走向暗室另一侧的隐蔽出口，背影挺拔决绝。陆父瘫坐在地，保镖不知所措。 | 拉远（跟随林晚意） | （对电话）顾律师，协议到手。可以放陆老爷子“见义勇为、大义灭亲”的消息了。 | 高跟鞋敲击地面的稳定节奏，远处警笛声到达楼下戛然而止 | 林晚意走过的地面，光影分割明暗，象征彻底走出阴影 |

