| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 28 | ECU | 林墨的瞳孔因震惊而放大，倒映着那盏悬浮自转的青铜灯。他左眉骨的旧疤传来一阵尖锐的刺痛。 | 固定，极近距离特写瞳孔与灯影 | （无声） | 水晶风铃般的空灵回响，他自己的心跳声在球形空间内被放大、扭曲。 | 他瞳孔中倒映的青铜灯影像，其暖黄光晕边缘，开始渗出一丝丝与瓷片裂纹、信号源同频的幽蓝色。 |
| 29 | MCU | 他强迫自己移开视线，快速扫视整个球形空间。外骨骼的扫描视觉启动，将水晶簇的结构、能量流动轨迹以半透明网格和数据流的形式叠加在现实画面上。 | 从林墨视角快速环扫整个空间 | （对通讯器，声音因空间回声而显得缥缈）球形空间…直径约五十米。能量读数…异常。核心是…一盏灯。 | 扫描视觉激活的轻微蜂鸣，数据流刷新的“滴滴”声。 | 扫描网格显示，所有能量流都从四面八方汇聚向中央的青铜灯，形成一个完美的能量漩涡。 |
| 30 | CU | 他的目光锁定在青铜灯下方地面。那里并非水晶，而是一小块平整的、布满灰尘的金属地板。地板上，有一个清晰的、人类的脚印——赤足，朝向灯的方向。 | 快速推进至脚印特写 | （呼吸一滞）脚印…新鲜的。 | 他自己的呼吸声骤然加重，在寂静的空间中格外清晰。 | 扫描视觉在脚印轮廓上高亮，显示出残留的生物热量信号（淡红色）和…微弱的神经脉冲辐射（幽蓝色）。 |
| 31 | MS | 林墨缓缓踏入球形空间。外骨骼足部与水晶地面接触，发出清脆的“咔哒”声。他每一步都极其谨慎，沿着能量扫描显示的“安全路径”向中央的灯靠近。 | 低角度跟拍，镜头微微晃动，模拟他的谨慎步伐 | （低声自语，近乎耳语）神经脉冲辐射…和干扰源同频。有人…先一步进来了。 | 足部与水晶的碰撞声，外骨骼关节运转的轻微液压声。远处，青铜灯自转传来极其细微的、金属摩擦的“吱呀”声。 | 他走过的路径，两侧的水晶簇会短暂地亮起，仿佛在记录他的通过，光芒紧随他的脚步，如同有生命一般。 |
| 32 | ECU | 林墨在距离青铜灯约五米处停下。他终于看清了灯的细节：样式古朴，类似汉代的“豆形灯”，表面布满繁复的云雷纹和…某种他从未见过的、类似神经网络的蚀刻纹路。灯盘中央，有一小簇幽蓝色的、仿佛液态的“火焰”在静静燃烧。 | 缓慢推进，从灯的全貌推至灯盘中央火焰的特写 | （倒吸一口冷气）…不是化学火焰。是…纯能量体。 | 那簇幽蓝火焰燃烧时，发出一种极低频的、仿佛直接作用于大脑深处的“嗡”鸣。 | 火焰的光芒映照下，灯身蚀刻的神经网络纹路仿佛活了过来，有暗红色的光流在其中缓慢脉动，与林墨腕部疤痕、门上符号的脉动频率完全一致。 |
| 33 | MCU | 林墨的视线从火焰移向灯柄。灯柄底部，镶嵌着一小块…青花瓷片。瓷片上的纹路，与他工作室里那件未修复的缠枝莲纹，残缺的部分严丝合缝。 | 快速切换特写：灯柄瓷片 -> 林墨骤然收缩的瞳孔 | （声音陡然变冷）缠枝莲…原来在这里。 | 空间内所有的声音仿佛瞬间被抽离，只剩下那幽蓝火焰的低频嗡鸣和林墨自己如擂鼓般的心跳。 | 当他的目光锁定瓷片时，瓷片上的缠枝莲纹路骤然亮起幽蓝色光芒，与他工作室里那件瓷瓶裂纹处的光芒产生了跨越空间的共鸣闪烁！ |
| 34 | LS | 球形空间突然震动！无数水晶簇发出尖锐的共鸣声！中央的青铜灯旋转加速，幽蓝火焰猛地窜高！灯光映照下，林墨的影子被拉长、扭曲，投射在水晶墙壁上，仿佛变成了多个挣扎的人形。 | 快速拉远，展现空间震动与光影剧变的全景 | （厉声）沈清音！能量爆发！记录峰值——！ | 水晶簇剧烈震动的轰鸣与尖啸！青铜灯加速旋转的破风声！ | 幽蓝火焰的光辐射呈波纹状扩散，所过之处，水晶墙壁上开始浮现出大量快速闪回的、模糊的影像碎片：挣扎的人影、破碎的瓷器、燃烧的火焰…以及一个背对镜头、身穿古老长袍的模糊身影。 |
| 35 | CU | 林墨在外骨骼的稳定辅助下勉强站稳。他死死盯着火焰中浮现的那些影像碎片，尤其是那个古老长袍的背影。他的左眼剧痛，金色光边疯狂旋转。 | 手持晃动镜头，特写林墨痛苦而专注的脸 | （从牙缝里挤出）…‘陶匠’…是你吗？ | 影像碎片闪回时伴随的、混乱而尖锐的噪音，仿佛无数人的哀嚎与低语被压缩在一起。 | 他左眼瞳孔中，金色光边旋转到极致时，竟短暂地“解析”了其中一个影像碎片——那是一个正在将某种液态金属注入破碎瓷器的、戴着奇异手套的手。手套的纹路，与青铜灯上的神经网络蚀刻纹路一模一样。 |

