| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 18 | LS | 电动车在空旷的辅路上狂飙。前方路口，绿灯开始闪烁。 | 跟拍（后方远景） | （无） | 远处交通信号灯切换的滴答声、电机全速运转的嘶鸣 | 绿灯数字倒数：3…2…1… |
| 19 | ECU | 张明盯着闪烁的黄灯，瞳孔放大。他非但没有减速，反而将身体伏得更低。 | 推进（聚焦于他决绝的眼神） | （从牙缝挤出）冲过去！ | 心跳声如擂鼓，盖过一切 | 黄灯的光芒在他面罩上剧烈闪烁，映亮他紧绷的脸 |
| 20 | MS | 电动车如一道蓝色闪电，在黄灯变红的瞬间，擦着一辆横向启动的轿车车头冲过路口。 | 甩镜（从张明甩向惊险擦过的轿车车头） | （轿车司机）我操！ | 尖锐的轮胎摩擦声、刺耳的喇叭长鸣、司机的怒骂 | 两车交错的瞬间，画面产生高速运动模糊和震动 |
| 21 | CU | 张明冲过路口后，头盔下的脸瞬间煞白，随即涌上后怕的潮红。他急促地喘了几口气。 | 固定 | （剧烈喘息）呼…呼… | 他自己粗重、颤抖的呼吸声 | 额头上新渗出的汗珠在路灯下反光 |
| 22 | MCU | 他左手下意识摸向手腕的红绳，用力攥了一下。眼神重新聚焦，看向前方高档公寓楼的轮廓。 | 低角度仰拍（红绳与远方楼宇） | （低声）小雅… | 风声、呼吸声 | 远方公寓楼的灯光在夜色中显得格外璀璨、遥远 |
| 23 | LS | 电动车拐入公寓区入口，却被升降栏杆和保安亭拦住。保安正低头看手机。 | 跟拍（减速靠近） | （张明，急切）师傅！开下门！急单！ | 电动车减速的电机声、张明焦急的喊声 | 手机屏幕的倒计时数字在画面一角跳动：4分15秒 |
| 24 | MCU | 保安慢悠悠抬头，瞥了一眼张明和他的电动车，脸上露出不耐烦。 | 固定 | （保安）外卖？走旁边非机动车道，绕过去。 | 保安亭窗户推开的声音、对讲机滋啦的电流声 | 保安身后监控屏幕的冷光映在他脸上 |
| 25 | CU | 张明看向保安所指的方向，那是一条需要绕行至少三百米的窄路。他猛地转头看向近在咫尺却无法进入的公寓楼。 | 快速甩镜（从保安甩向公寓楼，再甩回张明） | （内心独白，画外音）来不及了… | 倒计时提示音变得愈发尖锐、急促 | 公寓楼的轮廓在张明眼中似乎扭曲、拉远 |

