
--- 第 1 集剧情回顾 ---
| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | ECU | 林晚晴的杏眼猛地睁开，瞳孔在黑暗中急剧收缩，映着窗外都市凌晨的微光。 | 固定 | （无声） | 急促的心跳声，远处隐约的救护车鸣笛。 | 画面边缘有极细微的、如同老式电视雪花般的闪烁，转瞬即逝。 |
| 2 | CU | 她纤细的手指死死攥紧身下的丝绸床单，指节因用力而发白。呼吸从紊乱逐渐转为一种刻意压制的、深长的节奏。 | 缓慢推进 | （吸气声）……哈…… | 丝绸摩擦的窸窣声，她自己逐渐平稳的呼吸声。 | 无 |
| 3 | MS | 她猛地从床上坐起，薄被滑落。身上穿着剪裁精良的丝质睡袍，肩颈线条利落。她环顾这间熟悉的、属于她24岁时的卧室。 | 跟拍（从床侧平摇） | （低声，对自己）回来了……真的回来了。 | 床头电子钟的滴答声，空调出风口的微弱气流声。 | 她的视线焦点扫过房间陈设时，某些物品（如梳妆台上的订婚请柬草稿）会短暂浮现一层半透明的、灰败色的虚影（代表前世的记忆碎片）。 |
| 4 | CU | 她的目光锁定在梳妆台镜子里的自己。伸手，指尖轻轻触碰锁骨处那道几乎看不见的淡色疤痕。眼神从最初的震动，迅速沉淀为冰封般的冷静。 | 固定（对准镜中影像） | 这一次，疤痕只会留在这里。 | 指尖轻触皮肤的细微声响。 | 镜中她的倒影，有一瞬间似乎重叠了一个更憔悴、眼神绝望的虚像，随即消散。 |
| 5 | LS | 她掀被下床，赤脚走到落地窗前，“唰”地一声拉开厚重的窗帘。窗外，晨曦初露，整座城市正在苏醒，林氏珠宝总部大楼的霓虹标志在远处隐约可见。 | 拉远，从她背后拍摄，将她与窗外的城市框在一起 | （平静，却带着斩钉截铁的力量）游戏规则，该由我来定了。 | 窗帘拉开的摩擦声，远处早班车流的低沉嗡鸣。 | 初升的阳光穿过玻璃，在她周身勾勒出一圈锐利的金色轮廓光。 |


--- 第 2 集剧情回顾 ---
| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 6 | MCU | 林墨站在“拾遗斋”工作台前，戴着单眼放大镜，手持细笔，正修复一件青花瓷瓶的缺口。窗外是22世纪中叶的“曙光星”黎明，双星系统的第一缕光将室内染成奇异的橙紫色。他的动作精准，呼吸平稳。 | 固定，微距聚焦于笔尖与瓷片的接触点 | （无声） | 笔尖与矿物颜料混合剂的细微摩擦声，远处轨道空间站掠过天际的低频震动。 | 他指尖的矿物颜料在双星光下，反射出不同于地球矿物的、微弱的晶状光泽。 |
| 7 | CU | 他的左眼在放大镜下，那道细小的旧疤清晰可见。瞳孔深处，倒映着瓷片上残缺的缠枝莲纹。他的眼神专注，但眼底深处有一丝挥之不去的审视，仿佛在瓷片的裂纹中寻找线索。 | 缓慢推进至眼部特写 | （低语，近乎无声）…不对。 | 他自己的心跳声被放大，平稳中带着一丝不易察觉的加速。 | 他视线聚焦的瓷片裂纹处，极短暂地闪过一丝幽蓝色的微光（类似神经接口的反馈光晕，但更微弱），转瞬即逝。 |
| 8 | MS | 他忽然停下动作，放下笔，摘掉放大镜。右腿不易察觉地调整了一下重心，以缓解旧伤的僵硬。他转身，从身后嵌入墙面的全息档案柜中，调出一份加密文件。标题闪烁：《青花瓷案 - 未归档碎片分析》。 | 跟拍他转身、调取文件的动作 | （对空气，冷静）陈伯，今天的水循环系统检查报告，发给我。 | 全息界面激活的轻微嗡鸣，他右腿移动时，关节处传来一声极轻的“咔”声。 | 全息档案的加密符文在他指尖划过时亮起又熄灭，文件标题旁有一个不断旋转的、代表“未破解”的红色锁形图标。 |
| 9 | LS | 整个“拾遗斋”工作室全景。一半是古地球风格的木质工作台、博古架，上面摆满待修复的古董；另一半则嵌入了近未来的科技设备：环境稳定力场发生器、物质成分分析仪、以及连接着行星数据网络的终端。林墨站在两者交界的光影中，身形修长而孤寂。 | 从高处俯拍，缓慢拉远 | （通讯器传来沈清音的合成语音）林墨，轨道三号站截获一段加密信号，指向‘水晶洞穴未勘探区’。模式…很像三年前。 | 沈清音冷静的语音，背景有空间站特有的环境白噪音。工作室里，古董座钟发出规律的滴答声，与环境稳定力场低沉的嗡鸣形成奇异叠奏。 | 当沈清音提到“三年前”时，林墨手中正在查看的全息档案，其上的红色锁形图标剧烈闪烁了一下，整个工作室的照明也同步出现一次几乎无法察觉的频闪。 |
| 10 | ECU | 林墨的瞳孔骤然收缩。他盯着全息档案上闪烁的锁形图标，指尖无意识地收紧，指节泛白。窗外，曙光星的第一颗“太阳”完全跃出地平线，强光瞬间涌入，将他半边脸照得透亮，另半边脸留在深沉的阴影里。 | 固定，极近距离特写面部 | （对着通讯器，声音平稳，但每个字都像淬过冰）坐标。发过来。 | 他骤然加速的心跳声（被放大），通讯器确认发送的“嘀”声，窗外传来殖民城市清晨的、经过生态穹顶过滤后的风声。 | 他眼中倒映的全息光芒与窗外真实的恒星光芒交织，在他瞳孔深处形成一种冰冷而炽烈的矛盾光斑。 |


--- 第 3 集剧情回顾 ---
| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 11 | CU | 林墨的手指在全息界面上快速滑动，调出“水晶洞穴”的三维地形图。指尖划过未勘探区的红色标记时，微微停顿。他腕部的环状疤痕在屏幕冷光下清晰可见。 | 跟拍手指动作 | （对通讯器）信号源深度？能量特征？ | 指尖划过全息界面的细微“咻”声，数据流刷新的轻微嗡鸣。 | 三维地形图中，红色标记区域开始脉动，散发出与之前瓷片裂纹处相似的、极微弱的幽蓝色光晕。 |
| 12 | MCU | 他转身，从工作台抽屉底层取出一枚非制式的黑色数据密钥。密钥表面有手工雕刻的、类似神经接口的纹路。他将其插入终端侧面的隐藏插槽。 | 固定，特写插入密钥的动作 | （低声自语）果然……还是来了。 | 密钥插入时精准的“咔哒”锁合声，终端启动深层协议的蜂鸣。 | 插入瞬间，密钥上的纹路亮起暗红色光芒，终端屏幕被一层不断流动的、类似血液的加密数据流覆盖。 |
| 13 | LS | 工作室的灯光自动调暗。所有科技设备进入静默运行状态，只有木质工作台上那盏老式台灯还亮着暖黄的光。林墨站在明暗交界处，身影被拉长投射在背后的博古架上，与那些破碎文物的影子重叠。 | 缓慢环绕运镜，从林墨背后绕至侧面 | （通讯器，沈清音）深度：地下七百米。能量特征……与‘陶匠’案证物残留的辐射谱有87%吻合。建议你…… | 台灯灯泡的微弱电流声，设备进入静默模式后环境音陡然降低的压迫感。 | 博古架上，几件修复到一半的瓷器，其裂纹在台灯光下似乎产生了细微的、如同呼吸般的明暗变化。 |
| 14 | ECU | 林墨的呼吸在“陶匠”二字出现时，出现了半秒的停滞。他闭上眼，再睁开时，眼底所有情绪被冰封，只剩下纯粹的、猎手般的锐利。左眉骨的旧疤在紧绷的皮肤下更显清晰。 | 固定，极近距离面部特写 | （打断沈清音，声音平稳得可怕）不用建议。把轨道站的实时监控权限给我。现在。 | 他压抑的、从鼻腔缓缓呼出的气息声，窗外生态穹顶模拟的、遥远的雷声闷响。 | 他闭眼再睁眼的瞬间，瞳孔边缘似乎掠过一圈极淡的、非自然的金色光边，转瞬消失。 |
