| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 116 | LS | 林晚意冲出观景台木门，反手用力将门甩上，老旧的门轴发出不堪重负的呻吟。她沿着旋转石梯向下狂奔。 | 跟拍（俯拍，从楼梯上方跟随） | （无） | 沉重的关门巨响，她急促的脚步声在狭窄楼梯间回荡、重叠 | 楼梯墙壁上古老的石刻仿佛在她跑过时微微发光，随即熄灭 |
| 117 | MCU | 她一边狂奔，一边试图重新启动耳麦，但只有一片死寂的忙音。口袋里的钥匙残骸和警报装置像冰块一样贴着皮肤。 | 固定（她边跑边操作耳麦） | （低声咒骂）通讯全断… | 手指用力按压耳麦按钮的咔哒声，她粗重的喘息 | 耳麦外壳出现细微的、冰晶般的裂纹 |
| 118 | ECU | 左手手腕疤痕处的灼痛感非但没有减弱，反而随着奔跑加剧，蓝光透过皮肤和袖口布料，在昏暗楼梯间留下一道转瞬即逝的轨迹。 | 推进（聚焦奔跑中手腕的蓝光轨迹） | （闷哼）呃… | 她自己压抑的痛哼，心跳如鼓 | 蓝光轨迹如同有生命般，在她身后空气中短暂滞留，然后消散 |
| 119 | CU | 她冲下最后几级台阶，回到教堂主厅侧廊。彩绘玻璃的光斑依旧，但空气中弥漫着一种无形的压力，让光线都显得扭曲。 | 甩镜（从楼梯口甩向主厅） | （急促呼吸）必须…离开教堂… | 她脚步踏入主厅空旷地面的回音，远处唱诗班的声音不知何时已停止，一片死寂 | 彩绘玻璃投下的光斑颜色变得浑浊、暗沉，仿佛蒙上了一层灰烬 |
| 120 | LS | 林晚意混入零星的、面露不安的游客中，快步向出口走去。她目光锐利地扫视四周，发现几个身着便装、但气质冷硬的人正不动声色地封锁各个出口，他们的耳后都有微弱的红光闪烁。 | 跟拍（她在人群中移动，主观视角扫视） | （内心独白，无声）不是警察…是“他们”？动作太快了… | 游客不安的低语声，远处隐约的、非自然的低沉嗡鸣从天空传来 | 那些封锁者耳后的红光，与她口袋中钥匙残骸的残留波动产生极其微弱的共鸣（画面边缘轻微扭曲） |
| 121 | MCU | 林晚意果断转向，走向侧面的告解室方向。那里有一条通往地下墓穴和紧急出口的通道，是她提前记下的备用路线。 | 固定（她转向的决断瞬间） | （无） | 她脚步方向改变的摩擦声 | 告解室方向的光线更加昏暗，仿佛有阴影在蠕动 |
| 122 | ECU | 就在她即将踏入侧廊阴影时，一个温和却不容置疑的声音在她身后极近处响起。 | 固定（林晚意背影瞬间僵硬） | （陌生男声，标准德语，语调平稳）林晚意小姐。请留步。 | 声音仿佛贴着她耳后响起，没有脚步声先兆 | 她身后地面上，一个修长的人影无声无息地延伸过来，与她自己的影子重叠 |
| 123 | MS | 林晚意缓缓转身。一个身着剪裁精良的深灰色大衣、银发梳理得一丝不苟的中年男人站在她身后三步远。他面容儒雅，眼神却如同精密仪器般毫无感情，手中把玩着一枚与陈世荣袖口装置类似、但更精致的银色圆片。 | 低角度仰拍（陌生男人） | （林晚意，声音冰冷）你是谁？“观测者”？ | 她自己的声音在空旷教堂里显得格外清晰、紧绷 | 男人手中的银色圆片表面，有细密的、如同电路板般的光纹流动，映亮他毫无波澜的眼睛 |
| 124 | CU | 银发男人微微颔首，动作优雅得像在参加一场沙龙。 | 固定 | （银发男人）你可以这么称呼。我是“第七观测站”的负责人，你可以叫我“博士”。林小姐，你刚刚激活了一件非常危险的“遗物”，并引发了局部时空涟漪。我们需要你，以及那件物品。 | 他说话时，银色圆片发出极轻微的、有规律的滴答声，如同倒计时 | 他说话时，周围的空气仿佛微微凝固，光线在他身边形成一圈模糊的光晕，隔绝了外界声音 |
